Date,Open,High,Low,Close,WAP
24-07-12,718.35,726.3,718.15,724.55,722.3606132
25-07-12,722,722.25,712.5,718.7,717.3260252
26-07-12,721.15,721.9,707.3,710.3,713.8705609
27-07-12,716.15,725.35,715.55,720.4,720.6591269
30-07-12,722.05,731.65,722,729.25,726.8618593
31-07-12,731.75,745,721.4,742.85,734.1280844
01-08-12,741,750.8,739,745.45,745.678298
02-08-12,742.95,747.4,736.45,739.45,740.5866864
03-08-12,736,748,730.5,742.9,739.0527373
06-08-12,745.55,788.9,745.55,785.3,778.3936169
07-08-12,786,795.7,778.15,783.7,787.0776094
08-08-12,785,799.35,783,790.65,792.7526007
09-08-12,788.6,796.2,776.7,780.3,785.3820603
10-08-12,777.1,789.45,774.5,782.05,783.1099561
13-08-12,780.35,790,779.95,787.5,786.9556018
14-08-12,785.4,802.1,785.4,798.75,797.0970577
16-08-12,802,820.95,798.95,815.05,811.6588403
17-08-12,818.1,824.95,809.6,815.1,817.120337
21-08-12,815,823.65,812.15,814.35,816.7833699
22-08-12,808.05,815.9,805.8,808.05,809.9667613
23-08-12,809.6,810.9,787.7,794.45,800.1019637
24-08-12,791.05,794.4,778.6,782.1,783.7026599
27-08-12,784.75,796,783.15,787.4,788.3275016
28-08-12,786.1,794.3,778.55,790.05,786.0168635
29-08-12,790,797,780.5,782.4,787.6181169
30-08-12,780,785.95,768.2,781.95,778.1705814
31-08-12,783.5,783.9,763.2,771.95,771.9334896
03-09-12,770,770.95,760.1,764.25,764.6687475
04-09-12,764.1,780,763,778.55,773.7123139
05-09-12,773.05,779.5,761.3,771.05,769.6549578
06-09-12,768.7,774.1,764.05,767.35,769.0400268
07-09-12,778,796,778,791,790.5332376
08-09-12,792.5,797.9,792.5,795.45,794.9463022
10-09-12,798.8,802.7,789.05,791.15,792.6597777
11-09-12,788.1,795.6,783.5,790.35,791.3291072
12-09-12,793.9,799.9,789.2,797.5,795.0984055
13-09-12,798.7,808,794,798.25,801.6696214
14-09-12,811,844.7,809,840.95,830.3029026
17-09-12,848.5,881,848.5,873.65,869.7448547
18-09-12,870,873.95,851.65,855.2,860.9292556
20-09-12,840,848,828.15,832.15,839.088121
21-09-12,832,854.9,832,849.9,844.3072199
24-09-12,849,857.1,832.9,836.25,847.2405349
25-09-12,840,844.7,830.5,839.85,838.9917103
26-09-12,839,849.5,833.6,844.1,841.849901
27-09-12,845,848,825,830.2,836.3250092
28-09-12,839.95,848,834.25,836.7,841.3650164
01-10-12,840.8,842.5,830,834.55,835.6194995
03-10-12,834.35,852.55,833.55,846.25,845.6752325
04-10-12,850.05,858.5,849.05,852.75,854.0583536
05-10-12,856.2,860.4,843,857.4,853.3603835
08-10-12,856,856,816.2,818.7,829.3568001
09-10-12,824,826.9,813.25,815.4,819.2165409
10-10-12,812,822,807.25,816.15,816.4277062
11-10-12,816.5,821.8,809.05,819.5,816.5683397
12-10-12,821,826.2,815.75,818.9,820.6088089
15-10-12,820,829.7,819,823.2,823.6648573
16-10-12,839,840,810.45,813.25,821.2174041
17-10-12,816.4,816.9,802.1,805.4,806.3673022
18-10-12,806.9,816,797,810.95,807.007091
19-10-12,808.35,809.95,799.3,803.2,804.2083928
22-10-12,797.45,815.85,792.6,814.65,809.4697469
23-10-12,815,815,805.5,809.95,809.4183564
25-10-12,811.65,818.8,806.25,810.3,814.0340106
26-10-12,804,807.05,792.35,799,798.5344449
29-10-12,803.6,814.2,803.6,811.2,810.7685943
30-10-12,809.6,811.6,799.4,803.1,804.542004
31-10-12,805,807,798.3,805.25,804.084802
01-11-12,793.9,808,789.1,807.05,799.8487481
02-11-12,811.15,814.55,803.25,807.85,806.6108481
05-11-12,804.7,808,800.2,805.05,805.3180063
06-11-12,804,806.95,796.2,805.15,800.9321731
07-11-12,802.55,805.95,798.35,800.45,802.3897439
